,EmployeeID,Name,Age,Gender,Department,JobTitle,Salary,YearsAtCompany,PerformanceRating,EducationLevel
0,1,Julie Rodriguez,51,Female,HR,Coordinator,69329.59,27,2,3
1,2,Cole Valenzuela,58,Male,IT,Analyst,81490.38,23,3,4
2,3,Brian Hampton,26,Female,IT,Consultant,58526.86,13,4,4
3,4,Christian Leonard,51,Female,Finance,Manager,61573.58,19,5,2
4,5,Nancy Nash,62,Female,Marketing,Engineer,44924.45,20,1,2
5,6,Kelsey Wilson,23,Male,Operations,Manager,62904.32,17,2,3
6,7,Emily Chapman,58,Female,Marketing,Executive,59465.84,8,1,1
7,8,Samuel Guzman,19,Female,IT,Manager,45758.23,24,2,1
8,9,Deborah Ferrell,65,Male,Sales,Executive,61672.06,1,2,4
9,10,Lisa Hunt,56,Male,Operations,Coordinator,53693.8,7,5,1
10,11,Regina Nunez,22,Male,Operations,Consultant,39834.24,21,3,4
11,12,James Herman,57,Male,Engineering,Manager,38013.79,21,1,1
12,13,Keith Goodman,35,Female,IT,Coordinator,85833.66,18,3,3
13,14,Danielle Richards,39,Male,Sales,Analyst,29561.04,23,2,2
14,15,Lee Hernandez,42,Male,HR,Engineer,55724.67,17,5,4
15,16,Mrs. Debra Mccormick DVM,24,Female,Engineering,Executive,47781.64,21,1,2
16,17,Karen Mack,59,Male,Finance,Executive,89613.85,19,5,3
17,18,Tiffany Eaton,19,Male,Marketing,Executive,67058.14,25,1,3
18,19,Cynthia Moore,21,Female,Marketing,Consultant,8261.78,12,2,3
19,20,Shannon Baker,38,Female,Sales,Analyst,61609.88,1,1,3
20,21,Stephanie Jones,56,Male,HR,Engineer,72699.91,18,3,4
21,22,Connor Benson,35,Male,Operations,Engineer,54493.74,14,3,4
22,23,Cody Brady,35,Female,IT,Executive,61926.25,9,2,4
23,24,Charles Richardson,60,Female,Finance,Engineer,62785.8,19,4,3
24,25,Andrew Fowler,58,Female,Operations,Executive,70910.98,27,5,3
25,26,Shannon Lopez,29,Male,Marketing,Coordinator,69694.66,1,3,1
26,27,Jade Moses,18,Male,Marketing,Manager,42727.14,18,2,3
27,28,Alice Wise,47,Female,HR,Engineer,55120.19,11,3,4
28,29,Laura Delgado,32,Female,IT,Executive,30522.32,5,4,3
29,30,Heather Miller,29,Female,Engineering,Executive,69098.17,21,3,3
30,31,Tyler Ward,60,Male,IT,Consultant,51281.61,28,4,1
31,32,Christopher Vaughn,44,Female,IT,Consultant,74592.18,27,4,3
32,33,Caitlin Sawyer,43,Female,HR,Analyst,34363.17,7,5,4
33,34,Wendy Fisher,42,Female,HR,Manager,68193.93,18,2,3
34,35,Shawn Gentry,19,Female,IT,Executive,46389.08,9,1,1
35,36,Shaun Grant,32,Female,Engineering,Consultant,77127.91,10,4,1
36,37,Robert Johnson,48,Female,IT,Manager,84514.82,17,5,4
37,38,Gary Castaneda,45,Female,Engineering,Consultant,37813.85,6,4,1
38,39,Jaime Nelson,40,Male,HR,Coordinator,71211.79,17,2,3
39,40,Renee Mathews,27,Female,HR,Executive,54099.47,9,2,3
40,41,Paul Walsh,23,Male,HR,Coordinator,90217.99,18,2,4
41,42,Nathaniel Alvarado,50,Male,IT,Consultant,63153.88,17,4,1
42,43,Michelle Marsh,46,Female,HR,Executive,70074.76,20,5,4
43,44,Douglas Johnson,50,Female,Marketing,Consultant,82565.39,5,3,4
44,45,Lisa Strickland,33,Female,Finance,Manager,56917.44,29,1,1
45,46,Sara Robinson,60,Female,IT,Executive,64813.12,20,4,4
46,47,Karen Harris,54,Male,Sales,Analyst,40870.01,14,5,1
47,48,Thomas Mooney,26,Male,Finance,Consultant,64624.75,4,5,4
48,49,Jennifer Ward,53,Female,Marketing,Executive,39669.67,17,4,4
49,50,Justin Vargas,41,Male,Operations,Consultant,64754.21,19,4,3
50,51,Ryan Rowe,49,Male,Finance,Manager,46105.56,2,1,4
51,52,Edward Torres,34,Male,IT,Coordinator,76097.57,5,3,2
52,53,Brian Kelly,46,Female,Sales,Analyst,47756.19,10,5,4
53,54,Mark Chandler,43,Female,HR,Engineer,42896.34,8,2,3
54,55,Stacey Mclean,40,Female,Engineering,Manager,68790.21,5,1,2
55,56,Beth Braun,65,Male,Operations,Executive,51525.48,12,3,3
56,57,Amanda Lester,31,Male,HR,Consultant,40884.92,16,1,3
57,58,Victoria Jackson,62,Male,Finance,Executive,60550.93,16,2,3
58,59,Mr. Matthew Young,29,Female,Operations,Engineer,68723.63,6,2,3
59,60,Larry Roberts,65,Male,HR,Manager,86094.91,4,3,2
60,61,Alejandro Wells,35,Female,HR,Coordinator,41816.94,6,1,1
61,62,Lori Williams,41,Female,HR,Executive,70935,2,1,2
62,63,Sarah Edwards,41,Female,Operations,Manager,75721.72,27,5,2
63,64,Adrian Casey,31,Female,Finance,Manager,81160.12,27,3,3
64,65,Jake French,65,Female,IT,Engineer,81415.27,22,3,1
65,66,Nicole Frye,25,Male,HR,Engineer,53637.73,22,3,1
66,67,Michelle Odom,56,Male,Marketing,Consultant,63497.08,0,1,1
67,68,Kim Walker,32,Male,Finance,Analyst,68223.78,23,5,4
68,69,Scott Scott,45,Male,IT,Consultant,40684.75,7,1,3
69,70,Madeline Norman,44,Female,Sales,Engineer,96520.27,15,2,1
70,71,Amanda Roberts,41,Female,Engineering,Coordinator,67790.13,23,1,4
71,72,Caleb Santos,43,Female,Operations,Engineer,69824.81,9,5,2
72,73,Nicholas Walls,58,Female,Engineering,Manager,49174.95,26,1,2
73,74,Steven Lam,46,Female,Marketing,Executive,71326.55,13,1,1
74,75,Maria Reyes,35,Female,Operations,Manager,73273.1,25,3,4
75,76,Patrick Chambers,31,Female,Engineering,Manager,81861.62,30,3,2
76,77,Troy Ortiz,29,Male,Operations,Executive,63145.01,17,4,3
77,78,Alexandra Erickson,35,Female,HR,Coordinator,62094.67,14,5,2
78,79,Lauren Dawson,19,Male,Engineering,Analyst,79488.57,14,3,3
79,80,Selena Hodge,60,Male,IT,Executive,51847.56,17,3,2
80,81,Renee Leblanc,38,Female,Operations,Executive,80505.19,11,5,1
81,82,Monique Collins,39,Female,IT,Executive,74837.69,15,3,2
82,83,Kimberly Jenkins,29,Female,Operations,Analyst,76467.39,6,3,4
83,84,Denise Garcia,27,Male,Marketing,Executive,40601.32,16,2,4
84,85,Kayla Andrews,47,Male,Operations,Engineer,73462.38,13,1,4
85,86,Randy Keith,63,Female,Operations,Analyst,55375.15,17,5,3
86,87,Scott Brown,26,Female,Sales,Executive,60665.11,20,3,4
87,88,Christina Taylor,24,Female,Sales,Manager,57143.09,9,2,4
88,89,Gina Davis,56,Female,IT,Engineer,65113.25,8,4,3
89,90,Jessica Bennett,61,Male,Engineering,Consultant,47930.36,1,5,4
90,91,Michele Allen,23,Female,Engineering,Coordinator,49225.77,28,1,3
91,92,Taylor Peterson,40,Female,HR,Analyst,67709.97,22,2,1
92,93,Dawn Griffith,35,Female,HR,Executive,49942.21,1,1,3
93,94,Joseph Martin,25,Male,Finance,Analyst,45392.42,29,4,4
94,95,Clayton Huang,20,Female,Operations,Manager,52132.13,2,1,2
95,96,Duane Martinez,58,Male,IT,Analyst,59986.31,5,2,1
96,97,Heather Brewer,20,Female,Engineering,Executive,65368.8,12,3,4
97,98,Brad Richardson,64,Female,IT,Executive,84787.82,21,1,1
98,99,Emily Thomas,59,Female,HR,Analyst,62145.54,16,1,2
99,100,Antonio Kelly,54,Male,Marketing,Consultant,40784.31,30,2,3
100,101,Gabriel Morris,29,Female,Operations,Executive,65572.77,22,3,4
101,102,Brandon Bishop,52,Female,Operations,Consultant,62761.2,1,2,2
102,103,Karen Fox,44,Female,Engineering,Executive,65820.51,21,2,4
103,104,Michelle Parker,53,Male,HR,Consultant,44409.2,14,5,2
